Baseline 100%T,,0C 11min,,0C 12min,,0C 13.5min,,0C 15min,,0C 16min,,0C 17.5min,,0C 18.5min,,0C 20min,,0C 21.5min,,0C 23.5min,,0C 25,,0C 26.5min,,0C 28min,,0C 29.5min,,0C 31.5min,,0C 32.5min,,0C 34min,,0C 35.5min,,0C 37min,,-5C 40min,,-5C 41min,,-5C 43min,,-5C 44.5min,,-5C 45.5min,,-5C 47min,,-5C 48.5min,,-10C 52min,,-10C 53.5min,,-10C 55min,,-10C 56min,,-10C 57.5min,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.0736246258,800,0.002745948499,800,0.004580047913,800,0.02246317267,800,0.07067587972,800,0.121920146,800,0.1722878367,800,0.2114605606,800,0.2427495569,800,0.2696095705,800,0.2931520939,800,0.3054808378,800,0.3126294613,800,0.3198126554,800,0.326651752,800,0.3309090734,800,0.3349527717,800,0.3374194503,800,0.3393876553,800,0.3431456387,800,0.2394361347,800,0.2638846636,800,0.3686292171,800,0.447860688,800,0.4929580986,800,0.5200845003,800,0.5405353904,800,0.427842468,800,0.4728854299,800,0.5200817585,800,0.5351375937,800,0.5460180044,
799,0.07362885773,799,0.002701926045,799,0.004629467614,799,0.02256399393,799,0.07082119584,799,0.1221678928,799,0.1726689488,799,0.211123243,799,0.2429173142,799,0.2698335648,799,0.2932784557,799,0.3056022227,799,0.3125985861,799,0.3198439777,799,0.3265740275,799,0.3309762478,799,0.3350987732,799,0.3373850584,799,0.339369297,799,0.3431383669,799,0.2392262816,799,0.2639426887,799,0.3688311577,799,0.4479196966,799,0.4933395386,799,0.519656837,799,0.5405908823,799,0.4278440475,799,0.4729219377,799,0.5199481249,799,0.5358222127,799,0.5461609364,
798,0.07356859744,798,0.002893469529,798,0.004836024716,798,0.02287057601,798,0.07109960914,798,0.1225967929,798,0.1731027514,798,0.2105701417,798,0.2432571501,798,0.2700351477,798,0.2934401631,798,0.3058152795,798,0.3126410246,798,0.3200096488,798,0.3268171847,798,0.331132412,798,0.3353507221,798,0.3376304209,798,0.339533031,798,0.3432835937,798,0.2395375818,798,0.2641157508,798,0.3689827323,798,0.4481586516,798,0.4935124815,798,0.5188607574,798,0.540818274,798,0.4278903604,798,0.4732954502,798,0.5188584924,798,0.535385251,798,0.5462743044,
797,0.07358006388,797,0.002796280431,797,0.004768941086,797,0.02280719578,797,0.07123540342,797,0.1226231903,797,0.1731564701,797,0.2107720077,797,0.2433863431,797,0.2700653374,797,0.2937105,797,0.305645436,797,0.3127914369,797,0.3201140463,797,0.3267772496,797,0.331189841,797,0.3353155553,797,0.3376815915,797,0.3394381106,797,0.343205601,797,0.2394982278,797,0.2643528283,797,0.3691241145,797,0.4484141469,797,0.4937054813,797,0.5204700232,797,0.5408532619,797,0.4277679026,797,0.473167479,797,0.5205014348,797,0.5351908207,797,0.546295166,
796,0.07351763546,796,0.00269234064,796,0.004809326027,796,0.02296368405,796,0.07155045867,796,0.1229370236,796,0.173471719,796,0.2124549299,796,0.2437609434,796,0.2703167796,796,0.2936097383,796,0.3058529496,796,0.3128474355,796,0.320186913,796,0.3267923892,796,0.3313012123,796,0.3351675868,796,0.3377799094,796,0.3396167457,796,0.3432670236,796,0.2395944297,796,0.2642796636,796,0.3694495261,796,0.4486308098,796,0.4937942922,796,0.5207336545,796,0.541044414,796,0.427713871,796,0.4734359086,796,0.5205911398,796,0.5353404284,796,0.5463246703,
795,0.07349700481,795,0.002817175584,795,0.00492670713,795,0.02309950814,795,0.07172551006,795,0.1232525557,795,0.1737594754,795,0.2121105045,795,0.2437009215,795,0.2704748213,795,0.2937554419,795,0.3057282567,795,0.3129882216,795,0.3201247454,795,0.3268836737,795,0.3313242197,795,0.3353790939,795,0.3377370536,795,0.3395551145,795,0.3433844149,795,0.2394080013,795,0.2644474208,795,0.3695579767,795,0.4487279654,795,0.493933022,795,0.5204493999,795,0.5411267281,795,0.4276287556,795,0.4735361338,795,0.5199828148,795,0.5362408757,795,0.546274066,
794,0.07352983952,794,0.002915594261,794,0.005007090978,794,0.02326123789,794,0.07192302495,794,0.1234385967,794,0.1741006225,794,0.2114337236,794,0.2439250946,794,0.2705975175,794,0.2938221395,794,0.3060074151,794,0.3130309284,794,0.3202118874,794,0.3269831836,794,0.3313687146,794,0.3352730572,794,0.3377123773,794,0.3396690488,794,0.3433707356,794,0.2393883765,794,0.2644548118,794,0.3698152602,794,0.4490053356,794,0.4942084551,794,0.5194619894,794,0.5412154794,794,0.4278151393,794,0.4737869799,794,0.5191767216,794,0.5354716778,794,0.5462664962,
793,0.07346472144,793,0.002873222344,793,0.004909244366,793,0.02337783948,793,0.07219474018,793,0.1236892045,793,0.1742873192,793,0.2117681205,793,0.2441964597,793,0.2708312869,793,0.2941389382,793,0.306030035,793,0.3131220341,793,0.3202481866,793,0.3271080554,793,0.3314618766,793,0.3354390562,793,0.3379077911,793,0.3396608531,793,0.3433663547,793,0.2394804806,793,0.2645184696,793,0.3699816465,793,0.4490945339,793,0.4944739044,793,0.5199599862,793,0.5412752628,793,0.4277718961,793,0.4739178121,793,0.5192837119,793,0.5355750918,793,0.5462751389,
792,0.07358880341,792,0.002767154016,792,0.004826941527,792,0.02317404374,792,0.0721687004,792,0.123787716,792,0.1742381006,792,0.2128077745,792,0.2441337854,792,0.2707180083,792,0.2938404083,792,0.3059629798,792,0.3129862547,792,0.3202470839,792,0.3269855082,792,0.3313560486,792,0.3352217674,792,0.3376670182,792,0.3395535648,792,0.3433015049,792,0.2390642017,792,0.2644836903,792,0.370129168,792,0.4491246343,792,0.4943322539,792,0.5210458636,792,0.5411673188,792,0.4275356233,792,0.4738300741,792,0.5208078623,792,0.5354290009,792,0.5460113883,
